path;fail rate in %;bot share in %
initialize,begin editing,insert document,save,check,check,save,check,save,check,finish editing,save,finish editing,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing;100.0;6.25
initialize,begin editing,insert document,save,save,check,finish editing,save,finish editing,finish editing,save,finish editing,finish editing,save,save,check,finish editing,save,save,save,save,save,check,save,check,finish editing;100.0;7.69
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;53.85
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,check,finish editing,finish editing;100.0;27.59
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing,finish editing;100.0;22.22
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing,save,finish editing,finish editing,save,finish editing;100.0;60.87
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,insert document,save,save,finish editing,save,finish editing,save,finish editing;100.0;60.87
initialize,begin editing,insert document,save,check,discard,save,check,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,finish editing;100.0;9.09
initialize,begin editing,insert document,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,finish editing,finish editing,finish editing,finish editing;100.0;8.0
initialize,begin editing,insert document,save,save,check,finish editing,finish editing,save,check,finish editing,save,check,finish editing,finish editing,save,check,finish editing;100.0;11.11
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,save,save,save,save,save,save,save,save,save,save,finish editing,save,save,check,finish editing;100.0;39.47
initialize,begin editing,insert document,save,check,save,save,check,finish editing,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing;100.0;11.76
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,check,save,check,finish editing;100.0;63.64
initialize,begin editing,save,finish editing,finish editing,insert document,save,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing;100.0;11.11
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing,save,save,save,finish editing,finish editing;100.0;58.33
initialize,begin editing,insert document,save,save,check,save,save,finish editing,check,save,finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,save,save,save,save,save,finish editing,save,finish editing,finish editing,finish editing,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;4.88
initialize,begin editing,insert document,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing;100.0;9.52
initialize,begin editing,save,finish editing,check,insert document,save,check,finish editing,save,finish editing;100.0;18.18
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;58.33
